device_class,oui,dhcp_options,dhcp_vendor
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,47:65:6e,"16,5,23,4,20,24,8,15,24,9",generic
mobile,41:70:70,"4,15,16",apple
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
mobile,41:70:70,"4,15,16",apple
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
mobile,47:65:6e,"16,5,23,4,20,24,8,15,24,9",generic
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
other,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
mobile,41:70:70,"4,15,16",apple
mobile,47:65:6e,"16,5,23,4,20,24,8,15,24,9",generic
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24,24,9,5,19",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,41:70:70,"4,15,16",apple
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
mobile,47:65:6e,"16,5,23,4,20,24,8,15,24,9",generic
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8,14,24",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
mobile,41:70:70,"4,15,16",apple
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
mobile,47:65:6e,"16,5,23,4,20,24,8,15,24,9",generic
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10,8",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
pc,4e:6f:6e,"15,24,6,2,9,24,9,19,10",none
